CN79,BC,,,
CN78,BC,WA,,
CN77,WA,,,
CN76,WA,,,
CN75,OR ,,,
CN74,OR ,,,
CN73,OR ,,,
CN72,OR ,,,
CN71,CA,,,
CN70,CA,,,
CM79,CA,,,
CN89,BC,,,
CN88,WA,,,
CN87,WA,,,
CN86,WA,,,
CN85,OR,WA,,
CN84,OR,,,
CN83,OR,,,
CN82,OR,,,
CN81,CA,,,
CN80,CA,,,
CM89,CA,,,
CM88,CA,,,
CM87,CA,,,
CM86,CA,,,
CN99,BC,,,
CN98,WA,,,
CN97,WA,,,
CN96,WA,,,
CN95,OR,WA,,
CN94,OR,,,
CN93,OR,,,
CN92,OR,,,
CN91,CA,,,
CN90,CA,,,
CM99,CA,,,
CM98,CA,,,
CM97,CA,,,
CM96,CA,,,
CM95,CA,,,
CM94,CA,,,
CM93,CA,,,
DN09,BC,,,
DN08,WA,,,
DN07,WA,,,
DN06,WA,,,
DN05,OR,WA,,
DN04,OR,,,
DN03,OR,,,
DN02,OR,,,
DN01,NV,,,
DN00,NV,,,
DM09,NV,,,
DM08,NV,CA,,
DM07,CA,NV,,
DM06,CA,,,
DM05,CA,,,
DM04,CA,,,
DM03,CA,,,
DM02,CA,,,
DN19,BC,,,
DN18,ID,WA,,
DN17,ID,WA,,
DN16,ID,WA,,
DN15,OR,ID,,
DN14,ID,OR,,
DN13,ID,OR,,
DN12,ID,OR,,
DN11,NV,,,
DN10,NV,,,
DM19,NV,,,
DM18,NV,,,
DM17,NV,CA,,
DM16,CA,NV,,
DM15,CA,,,
DM14,CA,,,
DM13,CA,,,
DM12,CA,,,
DN29,AB,BC,,
DN28,MT,,,
DN27,MT,ID,,
DN26,ID,MT,,
DN25,ID,MT,,
DN24,ID,,,
DN23,ID,,,
DN22,ID,,,
DN21,NV,,,
DN20,NV,,,
DM29,NV,,,
DM28,NV,,,
DM27,NV,,,
DM26,NV,,,
DM25,NV,CA,,
DM24,CA,AZ,,
DM23,CA,AZ,,
DM22,CA,AZ,,
DN39,AB,,,
DN38,MT,,,
DN37,MT,,,
DN36,MT,,,
DN35,MT,ID,,
DN34,ID,MT,,
DN33,ID,,,
DN32,ID,,,
DN31,UT,,,
DN30,UT,,,
DM39,UT,,,
DM38,UT,,,
DM37,UT,,,
DM36,AZ,,,
DM35,AZ,,,
DM34,AZ,,,
DM33,AZ,,,
DM32,AZ,,,
DN49,AB,,,
DN48,MT,,,
DN47,MT,,,
DN46,MT,,,
DN45,MT,,,
DN44,WY,ID,MT,
DN43,WY,ID,,
DN42,WY,ID,,
DN41,WY,UT,,
DN40,UT,,,
DM49,UT,,,
DM48,UT,,,
DM47,UT,,,
DM46,AZ,,,
DM45,AZ,,,
DM44,AZ,,,
DM43,AZ,,,
DM42,AZ,,,
DM41,AZ,,,
DN59,SK,,,
DN58,MT,,,
DN57,MT,,,
DN56,MT,,,
DN55,MT,,,
DN54,WY,,,
DN53,WY,,,
DN52,WY,,,
DN51,WY,,,
DN50,CO,UT,,
DM59,CO,UT,,
DM58,CO,UT,,
DM57,CO,UT,,
DM56,AZ,NM,,
DM55,AZ,NM,,
DM54,AZ,NM,,
DM53,AZ,NM,,
DM52,AZ,NM,,
DM51,AZ,NM,,
DN69,SK,,,
DN68,MT,,,
DN67,MT,,,
DN66,MT,,,
DN65,MT,,,
DN64,WY,,,
DN63,WY,,,
DN62,WY,,,
DN61,WY,,,
DN60,CO,,,
DM69,CO,,,
DM68,CO,,,
DM67,CO,,,
DM66,NM,,,
DM65,NM,,,
DM64,NM,,,
DM63,NM,,,
DM62,NM,,,
